Season,Round,RaceName,Driver,Team,LapNumber,Stint,Compound,PitDuration_s
2024,4,Japanese Grand Prix,HUL,Haas F1 Team,5.0,2.0,SOFT,
2024,4,Japanese Grand Prix,HUL,Haas F1 Team,33.0,3.0,HARD,
2024,4,Japanese Grand Prix,STR,Aston Martin,1.0,1.0,SOFT,
2024,4,Japanese Grand Prix,STR,Aston Martin,12.0,2.0,SOFT,
2024,4,Japanese Grand Prix,STR,Aston Martin,22.0,3.0,MEDIUM,
2024,4,Japanese Grand Prix,STR,Aston Martin,34.0,4.0,HARD,
2024,4,Japanese Grand Prix,MAG,Haas F1 Team,1.0,1.0,MEDIUM,
2024,4,Japanese Grand Prix,MAG,Haas F1 Team,22.0,2.0,MEDIUM,
2024,4,Japanese Grand Prix,BOT,Kick Sauber,1.0,1.0,SOFT,
2024,4,Japanese Grand Prix,BOT,Kick Sauber,6.0,2.0,SOFT,
2024,4,Japanese Grand Prix,BOT,Kick Sauber,22.0,3.0,HARD,
2024,4,Japanese Grand Prix,OCO,Alpine,1.0,1.0,SOFT,
2024,4,Japanese Grand Prix,OCO,Alpine,19.0,2.0,HARD,
2024,4,Japanese Grand Prix,OCO,Alpine,33.0,3.0,HARD,
2024,4,Japanese Grand Prix,GAS,Alpine,1.0,1.0,SOFT,
2024,4,Japanese Grand Prix,GAS,Alpine,16.0,2.0,HARD,
2024,4,Japanese Grand Prix,GAS,Alpine,32.0,3.0,MEDIUM,
2024,4,Japanese Grand Prix,SAR,Williams,1.0,1.0,SOFT,
2024,4,Japanese Grand Prix,SAR,Williams,22.0,2.0,HARD,
2024,4,Japanese Grand Prix,SAR,Williams,34.0,3.0,HARD,
2024,4,Japanese Grand Prix,SAR,Williams,41.0,4.0,MEDIUM,
2024,4,Japanese Grand Prix,ZHO,Kick Sauber,1.0,1.0,MEDIUM,
2024,4,Japanese Grand Prix,ZHO,Kick Sauber,7.0,2.0,SOFT,
2024,4,Japanese Grand Prix,ZHO,Kick Sauber,11.0,3.0,HARD,
2024,4,Japanese Grand Prix,ZHO,Kick Sauber,12.0,4.0,HARD,-101.418
2024,5,Chinese Grand Prix,VER,Red Bull Racing,13.0,1.0,MEDIUM,
2024,5,Chinese Grand Prix,VER,Red Bull Racing,23.0,2.0,HARD,
2024,5,Chinese Grand Prix,GAS,Alpine,11.0,1.0,MEDIUM,
2024,5,Chinese Grand Prix,GAS,Alpine,23.0,2.0,HARD,
2024,5,Chinese Grand Prix,GAS,Alpine,38.0,3.0,HARD,
2024,5,Chinese Grand Prix,PER,Red Bull Racing,13.0,1.0,MEDIUM,
2024,5,Chinese Grand Prix,PER,Red Bull Racing,23.0,2.0,HARD,
2024,5,Chinese Grand Prix,ALO,Aston Martin,11.0,1.0,MEDIUM,
2024,5,Chinese Grand Prix,ALO,Aston Martin,23.0,2.0,HARD,
2024,5,Chinese Grand Prix,ALO,Aston Martin,43.0,3.0,SOFT,
2024,5,Chinese Grand Prix,LEC,Ferrari,21.0,1.0,MEDIUM,
2024,5,Chinese Grand Prix,STR,Aston Martin,9.0,1.0,SOFT,
2024,5,Chinese Grand Prix,STR,Aston Martin,21.0,2.0,MEDIUM,
2024,5,Chinese Grand Prix,STR,Aston Martin,26.0,3.0,HARD,
2024,5,Chinese Grand Prix,STR,Aston Martin,35.0,4.0,MEDIUM,
2024,5,Chinese Grand Prix,SAR,Williams,12.0,1.0,SOFT,
2024,5,Chinese Grand Prix,SAR,Williams,24.0,2.0,MEDIUM,
2024,5,Chinese Grand Prix,MAG,Haas F1 Team,17.0,1.0,HARD,
2024,5,Chinese Grand Prix,MAG,Haas F1 Team,27.0,2.0,HARD,
2024,5,Chinese Grand Prix,TSU,RB,8.0,1.0,SOFT,
2024,5,Chinese Grand Prix,TSU,RB,23.0,2.0,MEDIUM,
2024,5,Chinese Grand Prix,ALB,Williams,9.0,1.0,MEDIUM,
2024,5,Chinese Grand Prix,ALB,Williams,23.0,2.0,MEDIUM,
2024,5,Chinese Grand Prix,ZHO,Kick Sauber,8.0,1.0,MEDIUM,
2024,5,Chinese Grand Prix,ZHO,Kick Sauber,23.0,2.0,HARD,
2024,5,Chinese Grand Prix,ZHO,Kick Sauber,40.0,3.0,HARD,
2024,5,Chinese Grand Prix,HUL,Haas F1 Team,8.0,1.0,MEDIUM,
2024,5,Chinese Grand Prix,HUL,Haas F1 Team,23.0,2.0,HARD,
2024,5,Chinese Grand Prix,RIC,RB,14.0,1.0,MEDIUM,
2024,5,Chinese Grand Prix,RIC,RB,33.0,2.0,MEDIUM,
2024,5,Chinese Grand Prix,OCO,Alpine,9.0,1.0,MEDIUM,
2024,5,Chinese Grand Prix,OCO,Alpine,23.0,2.0,HARD,
2024,5,Chinese Grand Prix,NOR,McLaren,22.0,1.0,MEDIUM,
2024,5,Chinese Grand Prix,HAM,Mercedes,9.0,1.0,SOFT,
2024,5,Chinese Grand Prix,HAM,Mercedes,21.0,2.0,MEDIUM,
2024,5,Chinese Grand Prix,SAI,Ferrari,17.0,1.0,MEDIUM,
2024,5,Chinese Grand Prix,RUS,Mercedes,11.0,1.0,MEDIUM,
2024,5,Chinese Grand Prix,RUS,Mercedes,23.0,2.0,MEDIUM,
2024,5,Chinese Grand Prix,BOT,Kick Sauber,9.0,1.0,MEDIUM,
2024,5,Chinese Grand Prix,PIA,McLaren,16.0,1.0,MEDIUM,
2024,5,Chinese Grand Prix,PIA,McLaren,24.0,2.0,MEDIUM,
2024,6,Miami Grand Prix,VER,Red Bull Racing,23.0,1.0,MEDIUM,
2024,6,Miami Grand Prix,GAS,Alpine,12.0,1.0,MEDIUM,
2024,6,Miami Grand Prix,PER,Red Bull Racing,17.0,1.0,MEDIUM,
2024,6,Miami Grand Prix,PER,Red Bull Racing,28.0,2.0,HARD,
2024,6,Miami Grand Prix,ALO,Aston Martin,22.0,1.0,HARD,
2024,6,Miami Grand Prix,LEC,Ferrari,19.0,1.0,MEDIUM,
2024,6,Miami Grand Prix,STR,Aston Martin,11.0,1.0,MEDIUM,
2024,6,Miami Grand Prix,STR,Aston Martin,28.0,2.0,HARD,
2024,6,Miami Grand Prix,SAR,Williams,11.0,1.0,MEDIUM,
2024,6,Miami Grand Prix,MAG,Haas F1 Team,22.0,1.0,HARD,
2024,6,Miami Grand Prix,MAG,Haas F1 Team,28.0,2.0,MEDIUM,
2024,6,Miami Grand Prix,MAG,Haas F1 Team,31.0,3.0,MEDIUM,
2024,6,Miami Grand Prix,TSU,RB,28.0,1.0,MEDIUM,
2024,6,Miami Grand Prix,ALB,Williams,10.0,1.0,MEDIUM,
2024,6,Miami Grand Prix,ALB,Williams,53.0,2.0,HARD,
2024,6,Miami Grand Prix,ZHO,Kick Sauber,28.0,1.0,MEDIUM,
2024,6,Miami Grand Prix,HUL,Haas F1 Team,12.0,1.0,MEDIUM,
2024,6,Miami Grand Prix,HUL,Haas F1 Team,28.0,2.0,HARD,
2024,6,Miami Grand Prix,RIC,RB,28.0,1.0,HARD,
2024,6,Miami Grand Prix,OCO,Alpine,22.0,1.0,MEDIUM,
2024,6,Miami Grand Prix,NOR,McLaren,29.0,1.0,MEDIUM,
2024,6,Miami Grand Prix,HAM,Mercedes,26.0,1.0,HARD,
2024,6,Miami Grand Prix,SAI,Ferrari,27.0,1.0,MEDIUM,
2024,6,Miami Grand Prix,RUS,Mercedes,24.0,1.0,MEDIUM,
2024,6,Miami Grand Prix,BOT,Kick Sauber,11.0,1.0,SOFT,
2024,6,Miami Grand Prix,BOT,Kick Sauber,29.0,2.0,HARD,
2024,6,Miami Grand Prix,PIA,McLaren,27.0,1.0,MEDIUM,
2024,6,Miami Grand Prix,PIA,McLaren,40.0,2.0,HARD,
2024,7,Emilia Romagna Grand Prix,VER,Red Bull Racing,24.0,1.0,MEDIUM,
2024,7,Emilia Romagna Grand Prix,NOR,McLaren,22.0,1.0,MEDIUM,
2024,7,Emilia Romagna Grand Prix,LEC,Ferrari,25.0,1.0,MEDIUM,
2024,7,Emilia Romagna Grand Prix,PIA,McLaren,23.0,1.0,MEDIUM,
2024,7,Emilia Romagna Grand Prix,SAI,Ferrari,27.0,1.0,MEDIUM,
2024,7,Emilia Romagna Grand Prix,HAM,Mercedes,27.0,1.0,MEDIUM,
2024,7,Emilia Romagna Grand Prix,RUS,Mercedes,21.0,1.0,MEDIUM,
2024,7,Emilia Romagna Grand Prix,RUS,Mercedes,52.0,2.0,HARD,
2024,7,Emilia Romagna Grand Prix,PER,Red Bull Racing,37.0,1.0,HARD,
2024,7,Emilia Romagna Grand Prix,STR,Aston Martin,37.0,1.0,MEDIUM,
2024,7,Emilia Romagna Grand Prix,TSU,RB,12.0,1.0,MEDIUM,
2024,7,Emilia Romagna Grand Prix,HUL,Haas F1 Team,13.0,1.0,MEDIUM,
2024,7,Emilia Romagna Grand Prix,MAG,Haas F1 Team,37.0,1.0,MEDIUM,
2024,7,Emilia Romagna Grand Prix,RIC,RB,11.0,1.0,MEDIUM,
2024,7,Emilia Romagna Grand Prix,OCO,Alpine,25.0,1.0,MEDIUM,
2024,7,Emilia Romagna Grand Prix,ZHO,Kick Sauber,33.0,1.0,HARD,
2024,7,Emilia Romagna Grand Prix,GAS,Alpine,8.0,1.0,SOFT,
2024,7,Emilia Romagna Grand Prix,GAS,Alpine,30.0,2.0,HARD,
2024,7,Emilia Romagna Grand Prix,SAR,Williams,31.0,1.0,HARD,
2024,7,Emilia Romagna Grand Prix,BOT,Kick Sauber,8.0,1.0,MEDIUM,
2024,7,Emilia Romagna Grand Prix,ALO,Aston Martin,7.0,1.0,SOFT,
2024,7,Emilia Romagna Grand Prix,ALO,Aston Martin,40.0,2.0,HARD,
2024,7,Emilia Romagna Grand Prix,ALO,Aston Martin,59.0,3.0,MEDIUM,
2024,7,Emilia Romagna Grand Prix,ALB,Williams,8.0,1.0,MEDIUM,
2024,7,Emilia Romagna Grand Prix,ALB,Williams,9.0,2.0,HARD,-132.794
2024,7,Emilia Romagna Grand Prix,ALB,Williams,23.0,3.0,MEDIUM,
2024,7,Emilia Romagna Grand Prix,ALB,Williams,28.0,4.0,MEDIUM,
2024,7,Emilia Romagna Grand Prix,ALB,Williams,51.0,5.0,MEDIUM,
2024,8,Monaco Grand Prix,LEC,Ferrari,1.0,1.0,MEDIUM,
2024,8,Monaco Grand Prix,PIA,McLaren,1.0,1.0,MEDIUM,
2024,8,Monaco Grand Prix,SAI,Ferrari,1.0,1.0,MEDIUM,
2024,8,Monaco Grand Prix,NOR,McLaren,1.0,1.0,MEDIUM,
2024,8,Monaco Grand Prix,RUS,Mercedes,1.0,1.0,HARD,
2024,8,Monaco Grand Prix,VER,Red Bull Racing,1.0,1.0,HARD,
2024,8,Monaco Grand Prix,VER,Red Bull Racing,52.0,2.0,MEDIUM,
2024,8,Monaco Grand Prix,HAM,Mercedes,1.0,1.0,HARD,
2024,8,Monaco Grand Prix,HAM,Mercedes,51.0,2.0,MEDIUM,
2024,8,Monaco Grand Prix,TSU,RB,1.0,1.0,MEDIUM,
2024,8,Monaco Grand Prix,ALB,Williams,1.0,1.0,MEDIUM,
2024,8,Monaco Grand Prix,GAS,Alpine,1.0,1.0,HARD,
2024,8,Monaco Grand Prix,ALO,Aston Martin,1.0,1.0,HARD,
2024,8,Monaco Grand Prix,RIC,RB,1.0,1.0,MEDIUM,
2024,8,Monaco Grand Prix,BOT,Kick Sauber,1.0,1.0,HARD,
2024,8,Monaco Grand Prix,BOT,Kick Sauber,15.0,2.0,MEDIUM,
2024,8,Monaco Grand Prix,STR,Aston Martin,1.0,1.0,HARD,
2024,8,Monaco Grand Prix,STR,Aston Martin,42.0,2.0,MEDIUM,
2024,8,Monaco Grand Prix,STR,Aston Martin,48.0,3.0,HARD,
2024,8,Monaco Grand Prix,SAR,Williams,1.0,1.0,HARD,
2024,8,Monaco Grand Prix,SAR,Williams,57.0,2.0,HARD,
2024,8,Monaco Grand Prix,ZHO,Kick Sauber,1.0,1.0,MEDIUM,
2024,8,Monaco Grand Prix,ZHO,Kick Sauber,70.0,2.0,HARD,
2024,9,Canadian Grand Prix,VER,Red Bull Racing,25.0,1.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,VER,Red Bull Racing,45.0,2.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,GAS,Alpine,25.0,1.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,GAS,Alpine,40.0,2.0,INTERMEDIATE,
2024,9,Canadian Grand Prix,PER,Red Bull Racing,25.0,1.0,INTERMEDIATE,
